epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9799.37,1.46672,0.9829,1.0524,0.54241,0.39644,0.41899,0.237,1.31267,0.83073,1.01174,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
33,10102.5,1.45804,0.97815,1.04821,0.55834,0.38438,0.41881,0.23782,1.30296,0.82597,1.00802,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
34,10406.3,1.44878,0.9672,1.04668,0.53831,0.39555,0.42095,0.24012,1.30648,0.82863,1.00981,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
35,10710,1.45093,0.96863,1.04892,0.54802,0.38839,0.41671,0.23861,1.30577,0.82476,1.01078,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
36,11013.2,1.45003,0.97023,1.0476,0.55013,0.39031,0.41807,0.23884,1.3011,0.82465,1.00729,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
37,11317,1.44603,0.96469,1.04567,0.56106,0.39023,0.42121,0.24128,1.30013,0.82123,1.00802,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
38,11619.8,1.44118,0.95909,1.0441,0.5554,0.3881,0.41855,0.2389,1.30214,0.82288,1.0082,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
39,11921,1.44031,0.95274,1.04094,0.55471,0.39067,0.42064,0.23844,1.30347,0.82001,1.00788,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
40,12222.6,1.43245,0.95174,1.0384,0.55232,0.39553,0.42162,0.24236,1.2969,0.81791,1.00759,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
41,12528.9,1.43296,0.95161,1.03946,0.58205,0.38819,0.42955,0.24568,1.29507,0.8124,1.00561,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
42,12832.8,1.42845,0.94699,1.03653,0.58717,0.38937,0.42835,0.24453,1.29486,0.81234,1.00541,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
43,13135.3,1.42385,0.94416,1.03487,0.57151,0.40233,0.43049,0.24552,1.295,0.80889,1.00487,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
44,13437.5,1.42569,0.94167,1.03557,0.60474,0.38674,0.43199,0.24544,1.29358,0.8078,1.00534,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
45,13739.6,1.41775,0.93417,1.03199,0.55405,0.39669,0.42945,0.24397,1.28868,0.80445,1.00362,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
46,14044.1,1.41529,0.9292,1.03202,0.58908,0.39501,0.43283,0.24723,1.28697,0.8013,1.00388,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
47,14352.3,1.40916,0.92623,1.02756,0.56194,0.40619,0.43505,0.24835,1.28582,0.79802,1.00074,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
