epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6303.29,1.23808,1.48256,1.44484,0.70053,0.6307,0.67298,0.46363,1.31081,1.36939,1.40815,0.000655625,0.000655625,0.000655625
43,6450.26,1.22427,1.47254,1.43749,0.70161,0.63152,0.66847,0.46291,1.29652,1.37554,1.3917,0.000636762,0.000636762,0.000636762
44,6597.98,1.21458,1.4319,1.42473,0.72883,0.64564,0.69568,0.48451,1.28946,1.30779,1.38951,0.0006179,0.0006179,0.0006179
45,6745.94,1.20314,1.41575,1.42099,0.70725,0.64551,0.67864,0.47446,1.28754,1.39008,1.39138,0.000599037,0.000599037,0.000599037
46,6900.97,1.19361,1.40144,1.41516,0.73247,0.65493,0.69509,0.48003,1.2831,1.33758,1.40115,0.000580174,0.000580174,0.000580174
47,7057.37,1.18491,1.3731,1.40428,0.69493,0.66724,0.69736,0.4909,1.27822,1.3393,1.37979,0.000561311,0.000561311,0.000561311
48,7213.26,1.17772,1.36263,1.4036,0.74687,0.63729,0.68608,0.48142,1.29307,1.37577,1.40311,0.000542448,0.000542448,0.000542448
49,7369.69,1.16727,1.34669,1.39432,0.72507,0.64838,0.68243,0.4781,1.28706,1.33631,1.41407,0.000523586,0.000523586,0.000523586
50,7526.27,1.16521,1.35416,1.39266,0.74448,0.6453,0.69134,0.48395,1.28538,1.34583,1.39783,0.000504723,0.000504723,0.000504723
51,7680.54,1.13832,1.31566,1.37358,0.72375,0.6419,0.68695,0.4838,1.28015,1.35787,1.38857,0.00048586,0.00048586,0.00048586
52,7828.9,1.11983,1.28345,1.36162,0.70161,0.645,0.67551,0.47406,1.27318,1.3817,1.38624,0.000466997,0.000466997,0.000466997
53,7977.45,1.11743,1.26659,1.36158,0.70029,0.64879,0.68222,0.48759,1.27986,1.35292,1.40886,0.000448134,0.000448134,0.000448134
54,8123.96,1.11322,1.24727,1.35397,0.73362,0.64295,0.68409,0.48116,1.2853,1.34773,1.40501,0.000429272,0.000429272,0.000429272
55,8272.05,1.09848,1.23009,1.34312,0.73183,0.64398,0.68305,0.48505,1.28082,1.3248,1.40524,0.000410409,0.000410409,0.000410409
56,8425.61,1.08997,1.20409,1.33618,0.77492,0.62581,0.69443,0.48965,1.28126,1.29916,1.41985,0.000391546,0.000391546,0.000391546
57,8596.25,1.08686,1.22089,1.33428,0.68515,0.67087,0.68554,0.48261,1.29779,1.37845,1.41529,0.000372683,0.000372683,0.000372683
58,8743.66,1.07258,1.19763,1.32686,0.73562,0.6382,0.68463,0.48181,1.28924,1.37241,1.40204,0.00035382,0.00035382,0.00035382
59,8899.46,1.05292,1.16509,1.31016,0.74047,0.65501,0.69026,0.48887,1.27223,1.31747,1.39509,0.000334958,0.000334958,0.000334958
60,9053.96,1.05202,1.16765,1.30705,0.75735,0.64113,0.69397,0.48632,1.29427,1.3286,1.4273,0.000316095,0.000316095,0.000316095
61,9201.02,1.02687,1.15973,1.30175,0.72184,0.65646,0.69441,0.48868,1.29723,1.34209,1.42611,0.000297232,0.000297232,0.000297232
62,9348.29,1.01526,1.13592,1.29202,0.74084,0.62779,0.68297,0.48028,1.29896,1.36743,1.42343,0.000278369,0.000278369,0.000278369
63,9495.2,1.02403,1.12247,1.28949,0.74399,0.63634,0.68393,0.48246,1.31003,1.36398,1.43575,0.000259506,0.000259506,0.000259506
64,9642.87,0.99484,1.09358,1.27261,0.74335,0.63625,0.67901,0.47879,1.31002,1.35744,1.45295,0.000240644,0.000240644,0.000240644
65,9789.98,0.99,1.08958,1.27403,0.71471,0.65365,0.68633,0.48737,1.30181,1.35664,1.44869,0.000221781,0.000221781,0.000221781
66,9920.33,0.78589,0.65634,1.1375,0.73438,0.64354,0.68526,0.47178,1.36728,1.39552,1.4929,0.000202918,0.000202918,0.000202918
67,10050.3,0.69309,0.56025,1.07196,0.71202,0.65059,0.67677,0.4764,1.32646,1.42877,1.47707,0.000184055,0.000184055,0.000184055
