epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7008.32,1.74573,1.12782,0.97044,0.61181,0.46434,0.4858,0.21289,1.91649,1.38546,1.02916,0.000307,0.000307,0.000307
44,7166.86,1.73861,1.11603,0.97094,0.62699,0.46376,0.48687,0.21206,1.92769,1.38411,1.03293,0.0002905,0.0002905,0.0002905
45,7325.15,1.73954,1.11404,0.9716,0.62527,0.46225,0.48724,0.21201,1.9212,1.39869,1.03696,0.000274,0.000274,0.000274
46,7483.77,1.71344,1.09137,0.97161,0.63046,0.45447,0.48293,0.21139,1.92059,1.41308,1.02508,0.0002575,0.0002575,0.0002575
47,7642.06,1.72095,1.09214,0.95919,0.60956,0.45539,0.48048,0.21103,1.92408,1.41006,1.0302,0.000241,0.000241,0.000241
48,7800.69,1.69632,1.07148,0.95594,0.62094,0.47138,0.48865,0.21444,1.91688,1.40713,1.02414,0.0002245,0.0002245,0.0002245
49,7959.04,1.68435,1.06429,0.95412,0.61659,0.46426,0.48417,0.21223,1.92057,1.39967,1.0243,0.000208,0.000208,0.000208
50,8117.42,1.67582,1.04745,0.9528,0.61612,0.46383,0.48374,0.21158,1.91041,1.40498,1.02502,0.0001915,0.0001915,0.0001915
51,8261.25,1.62145,0.96363,0.91709,0.62105,0.45397,0.48184,0.20666,1.94686,1.44517,1.03414,0.000175,0.000175,0.000175
52,8404.49,1.55139,0.9064,0.90162,0.6106,0.45461,0.47601,0.20868,1.93902,1.46277,1.03395,0.0001585,0.0001585,0.0001585
53,8547.75,1.49326,0.86941,0.89078,0.59699,0.46613,0.47511,0.2067,1.94022,1.46242,1.0362,0.000142,0.000142,0.000142
54,8691.34,1.44423,0.83939,0.87959,0.62182,0.44975,0.47519,0.20607,1.95767,1.4902,1.04971,0.0001255,0.0001255,0.0001255
55,8834.74,1.41009,0.81746,0.87271,0.60518,0.45292,0.46547,0.20071,1.97102,1.52828,1.05138,0.000109,0.000109,0.000109
56,8978.29,1.37405,0.79274,0.86459,0.61769,0.44697,0.47028,0.2031,1.96726,1.52245,1.0501,9.25e-05,9.25e-05,9.25e-05
57,9121.46,1.33203,0.76707,0.85813,0.62172,0.43964,0.46408,0.2022,1.97274,1.54787,1.05451,7.6e-05,7.6e-05,7.6e-05
58,9265.1,1.30542,0.75281,0.85526,0.60266,0.44391,0.46112,0.19802,1.98705,1.56536,1.06025,5.95e-05,5.95e-05,5.95e-05
59,9408.3,1.29045,0.74291,0.85057,0.59913,0.44765,0.46107,0.19861,1.98702,1.58339,1.05931,4.3e-05,4.3e-05,4.3e-05
60,9551.78,1.26267,0.72689,0.84651,0.60354,0.44445,0.4622,0.19884,1.98623,1.58414,1.05851,2.65e-05,2.65e-05,2.65e-05
