epoch,train_loss,train_acc,val_loss,val_acc,macro_f1,micro_f1
1,1.083583,0.380488,0.933941,0.727273,0.715825,0.727273
2,0.918399,0.682927,0.767454,0.840909,0.836364,0.840909
3,0.711302,0.858537,0.594082,0.909091,0.907766,0.909091
4,0.582937,0.882927,0.479875,0.909091,0.907766,0.909091
5,0.476339,0.902439,0.406902,0.886364,0.884202,0.886364
6,0.361658,0.921951,0.352860,0.863636,0.863996,0.863636
1,0.917422,0.658497,0.565126,0.847328,0.845991,0.847328
2,0.495235,0.869281,0.355656,0.862595,0.864091,0.862595
3,0.328974,0.882353,0.325498,0.870229,0.871260,0.870229
4,0.250967,0.906863,0.330307,0.854962,0.855894,0.854962
5,0.242424,0.926471,0.383614,0.832061,0.832852,0.832061
6,0.201534,0.928105,0.440440,0.816794,0.817313,0.816794
1,1.098295,0.365854,0.946035,0.659091,0.640580,0.659091
2,0.889793,0.726829,0.772388,0.772727,0.764698,0.772727
3,0.733684,0.848780,0.648118,0.795455,0.792528,0.795455
4,0.595107,0.912195,0.567824,0.840909,0.840385,0.840909
5,0.465195,0.936585,0.476656,0.863636,0.862696,0.863636
6,0.362824,0.917073,0.405044,0.863636,0.863825,0.863636
7,0.262766,0.960976,0.405775,0.863636,0.859409,0.863636
8,0.216016,0.956098,0.402115,0.886364,0.886260,0.886364
9,0.182250,0.960976,0.389782,0.886364,0.885714,0.886364
10,0.159305,0.965854,0.402729,0.863636,0.862696,0.863636
1,1.120439,0.282927,0.992443,0.500000,0.419640,0.500000
2,0.919343,0.721951,0.820934,0.636364,0.624402,0.636364
3,0.723207,0.878049,0.642773,0.727273,0.723563,0.727273
4,0.542418,0.902439,0.520200,0.795455,0.793028,0.795455
5,0.412870,0.936585,0.481764,0.795455,0.787407,0.795455
6,0.316359,0.941463,0.411672,0.840909,0.837328,0.840909
7,0.263956,0.941463,0.428777,0.818182,0.820311,0.818182
8,0.193577,0.956098,0.437026,0.840909,0.843250,0.840909
9,0.183991,0.951220,0.434734,0.840909,0.843250,0.840909
1,1.101671,0.284314,1.105324,0.409091,0.375661,0.409091,0.409091
2,1.087891,0.352941,1.105994,0.409091,0.375661,0.409091,0.409091
3,1.092219,0.382353,1.106747,0.409091,0.375661,0.409091,0.409091
4,1.097467,0.352941,1.101061,0.409091,0.407018,0.409091,0.409091
5,1.071572,0.450980,1.099553,0.409091,0.407018,0.409091,0.409091
6,1.078477,0.411765,1.102768,0.409091,0.407018,0.409091,0.409091
1,1.106695,0.313725,1.092421,0.545455,0.510101,0.545455,0.545455
2,1.103489,0.323529,1.087934,0.454545,0.423776,0.454545,0.454545
3,1.074292,0.421569,1.080185,0.500000,0.479757,0.500000,0.500000
4,1.095411,0.450980,1.068651,0.500000,0.478632,0.500000,0.500000
5,1.071552,0.352941,1.063712,0.454545,0.451068,0.454545,0.454545
6,1.070127,0.401961,1.059824,0.409091,0.409524,0.409091,0.409091
1,1.060408,0.478474,1.000054,0.646119,0.639629,0.646119,0.646119
2,0.979626,0.667319,0.924652,0.730594,0.727773,0.730594,0.730594
3,0.916156,0.743640,0.860927,0.773973,0.772692,0.773973,0.773973
4,0.868236,0.770059,0.811884,0.819635,0.818615,0.819635,0.819635
1,1.092119,0.424390,1.057607,0.500000,0.494009,0.500000,0.500000
2,1.069797,0.478049,1.048777,0.545455,0.542640,0.545455,0.545455
3,1.060876,0.546341,1.038578,0.590909,0.587893,0.590909,0.590909
4,1.054139,0.536585,1.026533,0.590909,0.584402,0.590909,0.590909
5,1.039108,0.590244,1.016641,0.590909,0.590909,0.590909,0.590909
6,1.023350,0.590244,1.006664,0.613636,0.616543,0.613636,0.613636
7,1.022734,0.619512,0.998553,0.659091,0.661111,0.659091,0.659091
8,1.007516,0.648780,0.990276,0.636364,0.635217,0.636364,0.636364
9,0.995767,0.668293,0.981632,0.704545,0.702650,0.704545,0.704545
10,0.990703,0.682927,0.974211,0.704545,0.702650,0.704545,0.704545
11,0.976174,0.668293,0.966547,0.681818,0.677778,0.681818,0.681818
