epoch,train_loss,train_acc,val_loss,val_acc,macro_f1,micro_f1,tracked
1,1.140667,0.559167,0.691675,0.730667,0.718434,0.730667,0.730667
2,0.506018,0.815667,0.490738,0.822667,0.817586,0.822667,0.822667
3,0.377040,0.862500,0.448349,0.832000,0.829762,0.832000,0.832000
4,0.279248,0.900000,0.488889,0.838667,0.836024,0.838667,0.838667
5,0.207355,0.929333,0.491839,0.825333,0.823479,0.825333,0.825333
6,0.155843,0.947000,0.598961,0.814667,0.811468,0.814667,0.814667
7,0.112736,0.961000,0.752169,0.801333,0.797980,0.801333,0.801333
